Unnamed: 0,2021-06-14 20:11:51.400090,2021-06-15 12:24:28.087918,2021-06-17 17:00:21.483857,2021-06-17 17:05:02.156113,2021-06-18 13:05:02.816042,2021-06-19 09:06:51.224857
"1, MORGENSHTERN, MILLION DOLLAR: BUSINESS","1, MORGENSHTERN, MILLION DOLLAR: BUSINESS","1, MORGENSHTERN, MILLION DOLLAR: BUSINESS","1, MORGENSHTERN, MILLION DOLLAR: BUSINESS","1, MORGENSHTERN, MILLION DOLLAR: BUSINESS","1, MORGENSHTERN, MILLION DOLLAR: BUSINESS","1, MORGENSHTERN, MILLION DOLLAR: BUSINESS"
"2, Miyagi & Andy Panda, YAMAKASI","2, Miyagi & Andy Panda, YAMAKASI","2, Miyagi & Andy Panda, YAMAKASI","2, Miyagi & Andy Panda, YAMAKASI","2, Miyagi & Andy Panda, YAMAKASI","2, Miyagi & Andy Panda, YAMAKASI","2, Miyagi & Andy Panda, YAMAKASI"
"3, MORGENSHTERN, MILLION DOLLAR: HAPPINESS","3, MORGENSHTERN, MILLION DOLLAR: HAPPINESS","3, MORGENSHTERN, MILLION DOLLAR: HAPPINESS","3, MORGENSHTERN, MILLION DOLLAR: HAPPINESS","3, MORGENSHTERN, MILLION DOLLAR: HAPPINESS","3, MORGENSHTERN, MILLION DOLLAR: HAPPINESS","3, MORGENSHTERN, MILLION DOLLAR: HAPPINESS"
"4, Måneskin, Chosen","4, Måneskin, Chosen","4, Måneskin, Chosen","4, Måneskin, Chosen","4, Måneskin, Chosen","4, Måneskin, Chosen","4, Måneskin, Chosen"
"5, Måneskin, Teatro d'ira - Vol. I","5, Måneskin, Teatro d'ira - Vol. I","5, Måneskin, Teatro d'ira - Vol. I","5, Måneskin, Teatro d'ira - Vol. I","5, Måneskin, Teatro d'ira - Vol. I","5, Måneskin, Teatro d'ira - Vol. I","5, Måneskin, Teatro d'ira - Vol. I"
"6, Miyagi, Buster Keaton","6, Miyagi, Buster Keaton","6, Miyagi, Buster Keaton","6, Miyagi, Buster Keaton","6, Miyagi, Buster Keaton","6, Miyagi, Buster Keaton","6, Miyagi, Buster Keaton"
"7, Artik & Asti, Миллениум","7, Artik & Asti, Миллениум","7, Artik & Asti, Миллениум","7, Artik & Asti, Миллениум","7, Artik & Asti, Миллениум","7, Artik & Asti, Миллениум","7, Artik & Asti, Миллениум"
"8, DEAD BLONDE, ПРОПАГАНДА","8, DEAD BLONDE, ПРОПАГАНДА","8, DEAD BLONDE, ПРОПАГАНДА","8, DEAD BLONDE, ПРОПАГАНДА","8, DEAD BLONDE, ПРОПАГАНДА","8, DEAD BLONDE, ПРОПАГАНДА","8, DEAD BLONDE, ПРОПАГАНДА"
"9, Idris & Leos, Ночью проще писать","9, Idris & Leos, Ночью проще писать","9, Idris & Leos, Ночью проще писать","9, Idris & Leos, Ночью проще писать","9, Idris & Leos, Ночью проще писать","9, Idris & Leos, Ночью проще писать","9, Idris & Leos, Ночью проще писать"
"10, OG Buda, FREERIO","10, OG Buda, FREERIO","10, OG Buda, FREERIO","10, OG Buda, FREERIO","10, OG Buda, FREERIO","10, OG Buda, FREERIO","10, OG Buda, FREERIO"
"11, Скриптонит, Праздник на улице 36","11, Скриптонит, Праздник на улице 36","11, Скриптонит, Праздник на улице 36","11, Скриптонит, Праздник на улице 36","11, Скриптонит, Праздник на улице 36","11, Скриптонит, Праздник на улице 36","11, Скриптонит, Праздник на улице 36"
"12, Скриптонит, Свистки и бумажки","12, Скриптонит, Свистки и бумажки","12, Скриптонит, Свистки и бумажки","12, Скриптонит, Свистки и бумажки","12, Скриптонит, Свистки и бумажки","12, Скриптонит, Свистки и бумажки","12, Скриптонит, Свистки и бумажки"
"13, MAYOT, GHETTO GARDEN","13, MAYOT, GHETTO GARDEN","13, MAYOT, GHETTO GARDEN","13, MAYOT, GHETTO GARDEN","13, MAYOT, GHETTO GARDEN","13, MAYOT, GHETTO GARDEN","13, MAYOT, GHETTO GARDEN"
"14, Скриптонит, 2004","14, Скриптонит, 2004","14, Скриптонит, 2004","14, Скриптонит, 2004","14, Скриптонит, 2004","14, Скриптонит, 2004","14, Скриптонит, 2004"
"15, HammAli & Navai, Когда хорошему человеку плохо","15, HammAli & Navai, Когда хорошему человеку плохо","15, HammAli & Navai, Когда хорошему человеку плохо","15, HammAli & Navai, Когда хорошему человеку плохо","15, HammAli & Navai, Когда хорошему человеку плохо","15, HammAli & Navai, Когда хорошему человеку плохо","15, HammAli & Navai, Когда хорошему человеку плохо"
"16, Miyagi & Эндшпиль, Неизданное, Pt. 1","16, Miyagi & Эндшпиль, Неизданное, Pt. 1","16, Miyagi & Эндшпиль, Неизданное, Pt. 1","16, Miyagi & Эндшпиль, Неизданное, Pt. 1","16, Miyagi & Эндшпиль, Неизданное, Pt. 1","16, Miyagi & Эндшпиль, Неизданное, Pt. 1","16, Miyagi & Эндшпиль, Неизданное, Pt. 1"
"17, SODA LUV, Viva la vida","17, SODA LUV, Viva la vida","17, SODA LUV, Viva la vida","17, SODA LUV, Viva la vida","17, SODA LUV, Viva la vida","17, SODA LUV, Viva la vida","17, SODA LUV, Viva la vida"
"18, Скриптонит, Дом с нормальными явлениями","18, Скриптонит, Дом с нормальными явлениями","18, Скриптонит, Дом с нормальными явлениями","18, Скриптонит, Дом с нормальными явлениями","18, Скриптонит, Дом с нормальными явлениями","18, Скриптонит, Дом с нормальными явлениями","18, Скриптонит, Дом с нормальными явлениями"
"19, Miyagi & Эндшпиль, Hajime, Pt. 3","19, Miyagi & Эндшпиль, Hajime, Pt. 3","19, Miyagi & Эндшпиль, Hajime, Pt. 3","19, Miyagi & Эндшпиль, Hajime, Pt. 3","19, Miyagi & Эндшпиль, Hajime, Pt. 3","19, Miyagi & Эндшпиль, Hajime, Pt. 3","19, Miyagi & Эндшпиль, Hajime, Pt. 3"
"20, Скриптонит, Уроборос: Улица 36","20, Скриптонит, Уроборос: Улица 36","20, Скриптонит, Уроборос: Улица 36","20, Скриптонит, Уроборос: Улица 36","20, Скриптонит, Уроборос: Улица 36","20, Скриптонит, Уроборос: Улица 36","20, Скриптонит, Уроборос: Улица 36"
"21, Ramil', Сияй","21, Ramil', Сияй","21, Ramil', Сияй","21, Ramil', Сияй","21, Ramil', Сияй","21, Ramil', Сияй","21, Ramil', Сияй"
"22, BONES, InLovingMemory","22, BONES, InLovingMemory","22, BONES, InLovingMemory","22, BONES, InLovingMemory","22, BONES, InLovingMemory","22, BONES, InLovingMemory","22, BONES, InLovingMemory"
"23, Artik & Asti, 7 (Part 2)","23, Artik & Asti, 7 (Part 2)","23, Artik & Asti, 7 (Part 2)","23, Artik & Asti, 7 (Part 2)","23, Artik & Asti, 7 (Part 2)","23, Artik & Asti, 7 (Part 2)","23, Artik & Asti, 7 (Part 2)"
"24, JONY, Список твоих мыслей","24, JONY, Список твоих мыслей","24, JONY, Список твоих мыслей","24, JONY, Список твоих мыслей","24, JONY, Список твоих мыслей","24, JONY, Список твоих мыслей","24, JONY, Список твоих мыслей"
"25, SODA LUV, Ничего личного","25, SODA LUV, Ничего личного","25, SODA LUV, Ничего личного","25, SODA LUV, Ничего личного","25, SODA LUV, Ничего личного","25, SODA LUV, Ничего личного","25, SODA LUV, Ничего личного"
"26, Макс Корж, Жить в кайф","26, Макс Корж, Жить в кайф","26, Макс Корж, Жить в кайф","26, Макс Корж, Жить в кайф","26, Макс Корж, Жить в кайф","26, Макс Корж, Жить в кайф","26, Макс Корж, Жить в кайф"
"27, JONY, Небесные розы","27, JONY, Небесные розы","27, JONY, Небесные розы","27, JONY, Небесные розы","27, JONY, Небесные розы","27, JONY, Небесные розы","27, JONY, Небесные розы"
"28, Miyagi & Эндшпиль, Неизданное, Pt. 2","28, Miyagi & Эндшпиль, Неизданное, Pt. 2","28, Miyagi & Эндшпиль, Неизданное, Pt. 2","28, Miyagi & Эндшпиль, Неизданное, Pt. 2","28, Miyagi & Эндшпиль, Неизданное, Pt. 2","28, Miyagi & Эндшпиль, Неизданное, Pt. 2","28, Miyagi & Эндшпиль, Неизданное, Pt. 2"
"29, SLAVA MARLOW, АРТЁМ","29, SLAVA MARLOW, АРТЁМ","29, SLAVA MARLOW, АРТЁМ","29, SLAVA MARLOW, АРТЁМ","29, SLAVA MARLOW, АРТЁМ","29, SLAVA MARLOW, АРТЁМ","29, SLAVA MARLOW, АРТЁМ"
"30, Канги, Том I. «Жить не запретишь»","30, Канги, Том I. «Жить не запретишь»","30, Канги, Том I. «Жить не запретишь»","30, Канги, Том I. «Жить не запретишь»","30, Канги, Том I. «Жить не запретишь»","30, Канги, Том I. «Жить не запретишь»","30, Канги, Том I. «Жить не запретишь»"
"31, NLO, Пей. Люби. Летай.","31, NLO, Пей. Люби. Летай.","31, NLO, Пей. Люби. Летай.","31, NLO, Пей. Люби. Летай.","31, NLO, Пей. Люби. Летай.","31, NLO, Пей. Люби. Летай.","31, NLO, Пей. Люби. Летай."
"32, Zivert, Vinyl #1","32, Zivert, Vinyl #1","32, Zivert, Vinyl #1","32, Zivert, Vinyl #1","32, Zivert, Vinyl #1","32, Zivert, Vinyl #1","32, Zivert, Vinyl #1"
"33, 104, КИНО БЕЗ СИГАРЕТ","33, 104, КИНО БЕЗ СИГАРЕТ","33, 104, КИНО БЕЗ СИГАРЕТ","33, 104, КИНО БЕЗ СИГАРЕТ","33, 104, КИНО БЕЗ СИГАРЕТ","33, 104, КИНО БЕЗ СИГАРЕТ","33, 104, КИНО БЕЗ СИГАРЕТ"
"34, SALUKI, 104, СТЫД ИЛИ СЛАВА","34, SALUKI, 104, СТЫД ИЛИ СЛАВА","34, SALUKI, 104, СТЫД ИЛИ СЛАВА","34, SALUKI, 104, СТЫД ИЛИ СЛАВА","34, SALUKI, 104, СТЫД ИЛИ СЛАВА","34, SALUKI, 104, СТЫД ИЛИ СЛАВА","34, SALUKI, 104, СТЫД ИЛИ СЛАВА"
