Unnamed: 0,Unnamed: 0.1,2021-06-15 15:56:43.573872,2021-06-15 17:07:16.845472,2021-06-17 10:04:51.761535,2021-06-17 15:06:54.435611,2021-06-17 16:06:59.608266,2021-06-17 19:45:02.499830,2021-06-17 21:10:06.262513,2021-06-17 23:10:07.102035,2021-06-18 01:10:03.029725,2021-06-18 03:10:02.419875,2021-06-18 05:10:01.810628,2021-06-18 07:10:02.976842,2021-06-18 09:10:01.973464,2021-06-18 11:10:02.067328,2021-06-18 13:10:02.060030,2021-06-18 15:10:01.956353,2021-06-18 17:10:03.482338,2021-06-18 19:10:02.772944,2021-06-18 21:10:07.201125,2021-06-18 23:10:03.257887,2021-06-19 01:11:22.906182,2021-06-19 03:10:14.368458,2021-06-19 05:10:02.845975,2021-06-19 07:10:01.868241,2021-06-19 09:10:39.028580,2021-06-19 11:10:02.287519,2021-06-19 13:10:16.383743,2021-06-19 15:10:02.852215
0,0,"1, Джарахов, Markul,   Я в моменте","1, Джарахов, Markul,   Я в моменте","1, Джарахов, Markul,   Я в моменте","1, Джарахов, Markul,   Я в моменте","1, Джарахов, Markul,   Я в моменте","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте ","1, Джарахов, Markul,   Я в моменте "
1,1,"2, HammAli & Navai,   Птичка","2, HammAli & Navai,   Птичка","2, HammAli & Navai,   Птичка","2, HammAli & Navai,   Птичка","2, HammAli & Navai,   Птичка","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка ","2, HammAli & Navai,   Птичка "
2,2,"3, Zivert,   Рокки","3, Zivert,   Рокки","3, Баста,   Ты была права","3, Баста,   Ты была права","3, Баста,   Ты была права","3, Баста,   Ты была права ","3, Баста,   Ты была права ","3, Minelli,   Rampampam ","3, Minelli,   Rampampam ","3, Minelli,   Rampampam ","3, Minelli,   Rampampam ","3, Minelli,   Rampampam ","3, Minelli,   Rampampam ","3, Minelli,   Rampampam ","3, Minelli,   Rampampam ","3, Minelli,   Rampampam ","3, Minelli,   Rampampam ","3, BRANYA, MACAN,   Пополам ","3, BRANYA, MACAN,   Пополам ","3, BRANYA, MACAN,   Пополам ","3, BRANYA, MACAN,   Пополам ","3, BRANYA, MACAN,   Пополам ","3, BRANYA, MACAN,   Пополам ","3, BRANYA, MACAN,   Пополам ","3, BRANYA, MACAN,   Пополам ","3, BRANYA, MACAN,   Пополам ","3, BRANYA, MACAN,   Пополам ","3, BRANYA, MACAN,   Пополам "
3,3,"4, Баста,   Ты была права","4, Баста,   Ты была права","4, Minelli,   Rampampam","4, Minelli,   Rampampam","4, Minelli,   Rampampam","4, Minelli,   Rampampam ","4, Minelli,   Rampampam ","4, Баста,   Ты была права ","4, Баста,   Ты была права ","4, Баста,   Ты была права ","4, Баста,   Ты была права ","4, Баста,   Ты была права ","4, Баста,   Ты была права ","4, Баста,   Ты была права ","4, Баста,   Ты была права ","4, BRANYA, MACAN,   Пополам ","4, BRANYA, MACAN,   Пополам ","4, Асия, Аня Pokrov,   Любовь с картинки ","4, Асия, Аня Pokrov,   Любовь с картинки ","4, Асия, Аня Pokrov,   Любовь с картинки ","4, Асия, Аня Pokrov,   Любовь с картинки ","4, Асия, Аня Pokrov,   Любовь с картинки ","4, Асия, Аня Pokrov,   Любовь с картинки ","4, Асия, Аня Pokrov,   Любовь с картинки ","4, Асия, Аня Pokrov,   Любовь с картинки ","4, Асия, Аня Pokrov,   Любовь с картинки ","4, Асия, Аня Pokrov,   Любовь с картинки ","4, Асия, Аня Pokrov,   Любовь с картинки "
4,4,"5, Minelli,   Rampampam","5, Minelli,   Rampampam","5, Zivert,   Рокки","5, Zivert,   Рокки","5, Zivert,   Рокки","5, Zivert,   Рокки ","5, Zivert,   Рокки ","5, Zivert,   Рокки ","5, Zivert,   Рокки ","5, Zivert,   Рокки ","5, Zivert,   Рокки ","5, Zivert,   Рокки ","5, Zivert,   Рокки ","5, Zivert,   Рокки ","5, BRANYA, MACAN,   Пополам ","5, Баста,   Ты была права ","5, Баста,   Ты была права ","5, Баста,   Ты была права ","5, Би-2,   Нам не нужен герой ","5, Би-2,   Нам не нужен герой ","5, Би-2,   Нам не нужен герой ","5, Би-2,   Нам не нужен герой ","5, Би-2,   Нам не нужен герой ","5, Би-2,   Нам не нужен герой ","5, Би-2,   Нам не нужен герой ","5, Баста,   Ты была права ","5, Баста,   Ты была права ","5, Minelli,   Rampampam "
5,5,"6, Masked Wolf,   Astronaut In The Ocean","6, Masked Wolf,   Astronaut In The Ocean","6, Masked Wolf,   Astronaut In The Ocean","6, Masked Wolf,   Astronaut In The Ocean","6, Masked Wolf,   Astronaut In The Ocean","6, Masked Wolf,   Astronaut In The Ocean ","6, DEAD BLONDE,   Мальчик на девятке ","6, DEAD BLONDE,   Мальчик на девятке ","6, DEAD BLONDE,   Мальчик на девятке ","6, DEAD BLONDE,   Мальчик на девятке ","6, DEAD BLONDE,   Мальчик на девятке ","6, DEAD BLONDE,   Мальчик на девятке ","6, DEAD BLONDE,   Мальчик на девятке ","6, DEAD BLONDE,   Мальчик на девятке ","6, Zivert,   Рокки ","6, Zivert,   Рокки ","6, Zivert,   Рокки ","6, Minelli,   Rampampam ","6, Баста,   Ты была права ","6, Баста,   Ты была права ","6, Баста,   Ты была права ","6, Баста,   Ты была права ","6, Баста,   Ты была права ","6, Баста,   Ты была права ","6, Баста,   Ты была права ","6, Minelli,   Rampampam ","6, Minelli,   Rampampam ","6, Баста,   Ты была права "
6,6,"7, DEAD BLONDE,   Мальчик на девятке","7, DEAD BLONDE,   Мальчик на девятке","7, DEAD BLONDE,   Мальчик на девятке","7, DEAD BLONDE,   Мальчик на девятке","7, DEAD BLONDE,   Мальчик на девятке","7, DEAD BLONDE,   Мальчик на девятке ","7, Masked Wolf,   Astronaut In The Ocean ","7, Masked Wolf,   Astronaut In The Ocean ","7, Masked Wolf,   Astronaut In The Ocean ","7, Masked Wolf,   Astronaut In The Ocean ","7, Masked Wolf,   Astronaut In The Ocean ","7, Masked Wolf,   Astronaut In The Ocean ","7, Masked Wolf,   Astronaut In The Ocean ","7, Masked Wolf,   Astronaut In The Ocean ","7, DEAD BLONDE,   Мальчик на девятке ","7, Би-2,   Нам не нужен герой ","7, Би-2,   Нам не нужен герой ","7, Би-2,   Нам не нужен герой ","7, Minelli,   Rampampam ","7, Minelli,   Rampampam ","7, Minelli,   Rampampam ","7, Minelli,   Rampampam ","7, Minelli,   Rampampam ","7, Minelli,   Rampampam ","7, Minelli,   Rampampam ","7, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","7, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","7, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара "
7,7,"8, Artik & Asti,   Истеричка","8, Artik & Asti,   Истеричка","8, Artik & Asti,   Истеричка","8, Artik & Asti,   Истеричка","8, Artik & Asti,   Истеричка","8, Artik & Asti,   Истеричка ","8, Artik & Asti,   Истеричка ","8, Artik & Asti,   Истеричка ","8, Artik & Asti,   Истеричка ","8, Artik & Asti,   Истеричка ","8, Artik & Asti,   Истеричка ","8, Artik & Asti,   Истеричка ","8, Artik & Asti,   Истеричка ","8, BRANYA, MACAN,   Пополам ","8, Masked Wolf,   Astronaut In The Ocean ","8, Асия, Аня Pokrov,   Любовь с картинки ","8, Асия, Аня Pokrov,   Любовь с картинки ","8, Zivert,   Рокки ","8, Zivert,   Рокки ","8, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","8, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","8, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","8, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","8, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","8, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","8, Би-2,   Нам не нужен герой ","8, Би-2,   Нам не нужен герой ","8, DEAD BLONDE,   Мальчик на девятке "
8,8,"9, Султан Лагучев,   Горький вкус","9, Султан Лагучев,   Горький вкус","9, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","9, Султан Лагучев,   Горький вкус","9, Султан Лагучев,   Горький вкус","9, Султан Лагучев,   Горький вкус ","9, Султан Лагучев,   Горький вкус ","9, Би-2,   Нам не нужен герой ","9, Би-2,   Нам не нужен герой ","9, Би-2,   Нам не нужен герой ","9, Би-2,   Нам не нужен герой ","9, Султан Лагучев,   Горький вкус ","9, BRANYA, MACAN,   Пополам ","9, Artik & Asti,   Истеричка ","9, Би-2,   Нам не нужен герой ","9, DEAD BLONDE,   Мальчик на девятке ","9, DEAD BLONDE,   Мальчик на девятке ","9, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","9, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","9, Zivert,   Рокки ","9, Zivert,   Рокки ","9, Zivert,   Рокки ","9, Zivert,   Рокки ","9, Zivert,   Рокки ","9, Zivert,   Рокки ","9, Zivert,   Рокки ","9, DEAD BLONDE,   Мальчик на девятке ","9, ХАБИБ,   Ягода малинка "
9,9,"10, ХАБИБ,   Ягода малинка","10, ХАБИБ,   Ягода малинка","10, Султан Лагучев,   Горький вкус","10, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","10, ХАБИБ,   Ягода малинка","10, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","10, ХАБИБ,   Ягода малинка ","10, Султан Лагучев,   Горький вкус ","10, ХАБИБ,   Ягода малинка ","10, ХАБИБ,   Ягода малинка ","10, ХАБИБ,   Ягода малинка ","10, Би-2,   Нам не нужен герой ","10, Султан Лагучев,   Горький вкус ","10, Султан Лагучев,   Горький вкус ","10, Асия, Аня Pokrov,   Любовь с картинки ","10, Masked Wolf,   Astronaut In The Ocean ","10, Masked Wolf,   Astronaut In The Ocean ","10, DEAD BLONDE,   Мальчик на девятке ","10, DEAD BLONDE,   Мальчик на девятке ","10, DEAD BLONDE,   Мальчик на девятке ","10, DEAD BLONDE,   Мальчик на девятке ","10, DEAD BLONDE,   Мальчик на девятке ","10, Jah Khalib,   Следуй за мной ","10, Jah Khalib,   Следуй за мной ","10, Jah Khalib,   Следуй за мной ","10, DEAD BLONDE,   Мальчик на девятке ","10, Zivert,   Рокки ","10, Zivert,   Рокки "
